id,first_name,last_name,dob,zip,tier
u102173,Margaret,King,11/1/68,37538,silver
u103172,Robert,Robinson,4/16/02,59970,silver
u104973,Elizabeth,Lopez,12/5/96,45217,diamond
u105157,Margaret,Young,12/19/62,15399,none
u105633,Mary,Davis,6/25/80,76519,silver
u105650,Patricia,Lewis,11/3/73,90709,silver
u106892,Robert,Young,5/29/61,74261,none
u107693,Charles,Wright,6/30/92,82193,none
u109799,Sarah,Anderson,10/3/85,45300,none
u109882,William,Scott,3/22/74,94539,none
u110153,Mary,Thompson,4/20/63,13742,silver
u110421,Linda,Scott,1/24/60,86390,diamond
u110422,Thomas,Wright,6/13/77,61654,gold
u113016,Paul,Torres,10/20/91,71954,gold
u114270,Paul,Taylor,8/2/04,44774,gold
u115079,Kimberly,Wilson,9/19/61,33726,none
u115274,Betty,Lewis,5/10/82,40116,diamond
u117479,Joseph,Wright,10/17/93,55490,silver
u118666,Andrew,Ramirez,4/18/90,58164,platinum
u120216,Kimberly,Harris,1/27/74,54213,silver
u120483,James,Scott,9/19/81,80910,gold
u120647,Mary,Wilson,3/6/73,98759,none
u121622,Richard,Lewis,5/28/74,69495,silver
u124216,Daniel,Harris,8/15/84,57752,platinum
u126536,Betty,Williams,8/31/75,93984,gold
u127208,Emily,Jackson,4/6/74,27613,gold
u127636,Charles,Smith,10/5/81,88106,none
u129231,Richard,Perez,8/10/76,30911,none
u130028,Jessica,Nguyen,9/4/97,49643,none
u132587,Joseph,Harris,6/13/89,77768,none
u132826,Joshua,Nguyen,2/20/62,87793,gold
u133334,Betty,Taylor,4/29/03,87793,none
u133712,Betty,Gonzalez,9/19/95,23534,diamond
u134244,Mary,King,12/28/66,89804,none
u134389,Nancy,Clark,12/18/63,23564,silver
u134817,Sarah,Williams,4/24/80,45765,gold
u135168,Barbara,Anderson,7/22/81,13162,gold
u135689,Susan,Perez,4/5/85,28598,silver
u135904,Mark,White,6/23/89,91371,silver
u137086,Charles,King,4/3/75,96356,diamond
u137400,Susan,Young,5/14/81,27813,none
u137586,Donna,Brown,8/3/91,59664,platinum
u137946,Daniel,Lee,4/11/80,37143,none
u140195,Patricia,Harris,9/5/74,85127,diamond
u140285,Michael,Ramirez,9/30/97,96511,diamond
u140443,Anthony,Martinez,3/16/00,28827,gold
u142962,Daniel,Young,7/12/01,51882,silver
u143944,Barbara,Allen,8/4/92,36431,platinum
u145684,Thomas,Johnson,5/18/72,65203,none
u146045,David,Harris,3/28/81,69889,none
u148381,Mark,Davis,9/4/94,76586,platinum
u148563,Jennifer,Perez,3/17/61,75584,none
u148752,Kimberly,Martin,7/19/74,25773,silver
u149243,Margaret,Lopez,5/4/00,19023,none
u150335,Kimberly,Hill,7/3/60,83347,platinum
u152306,Charles,Walker,12/24/94,23832,platinum
u152567,Susan,Flores,6/5/75,72208,silver
u153123,Ashley,Allen,5/10/73,26324,gold
u153376,Thomas,Walker,10/1/61,76715,none
u156544,Charles,Anderson,8/27/05,18977,diamond
u156665,David,Nguyen,4/4/62,68679,diamond
u157415,Robert,Anderson,1/2/89,71577,none
u157923,Joshua,Martinez,10/5/05,33419,gold
